OncotreePrimaryDisease,ModelID,DepmapModelType,OncotreeCode,OncotreeSubtype,tcga code
Acute Myeloid Leukemia,ACH-000004,AML,AML,Acute Myeloid Leukemia,LAML
Acute Myeloid Leukemia,ACH-001230,AMKL,AMKL,Acute Megakaryoblastic Leukemia,LAML
Acute Myeloid Leukemia,ACH-001129,AMOL,AMOL,Acute Monoblastic/Monocytic Leukemia,LAML
Acute Myeloid Leukemia,ACH-001574,AML,AML,Acute Myeloid Leukemia,LAML
Acute Myeloid Leukemia,ACH-000006,AMOL,AMOL,Acute Monoblastic/Monocytic Leukemia,LAML
Acute Myeloid Leukemia,ACH-000002,AML,AML,Acute Myeloid Leukemia,LAML
Acute Myeloid Leukemia,ACH-001036,MLADS,MLADS,Myeloid Leukemia Associated with Down Syndrome,LAML
Acute Myeloid Leukemia,ACH-002290,AML,AML,Acute Myeloid Leukemia,LAML
Acute Myeloid Leukemia,ACH-000005,AML,AML,Acute Myeloid Leukemia,LAML
Acute Myeloid Leukemia,ACH-000065,AML,AML,Acute Myeloid Leukemia,LAML
Acute Myeloid Leukemia,ACH-000080,AMOL,AMOL,Acute Monoblastic/Monocytic Leukemia,LAML
Acute Myeloid Leukemia,ACH-001037,MLADS,MLADS,Myeloid Leukemia Associated with Down Syndrome,LAML
Acute Myeloid Leukemia,ACH-001577,AML,AML,Acute Myeloid Leukemia,LAML
Acute Myeloid Leukemia,ACH-000294,AML,AML,Acute Myeloid Leukemia,LAML
Acute Myeloid Leukemia,ACH-002299,AML,AML,Acute Myeloid Leukemia,LAML
Acute Myeloid Leukemia,ACH-001613,AML,AML,Acute Myeloid Leukemia,LAML
Acute Myeloid Leukemia,ACH-000770,AML,AML,Acute Myeloid Leukemia,LAML
Acute Myeloid Leukemia,ACH-000034,AML,AML,Acute Myeloid Leukemia,LAML
Acute Myeloid Leukemia,ACH-000602,AMKL,AMKL,Acute Megakaryoblastic Leukemia,LAML
Acute Myeloid Leukemia,ACH-002262,AMML,AMML,Acute Myelomonocytic Leukemia,LAML
Acute Myeloid Leukemia,ACH-001618,AML,AML,Acute Myeloid Leukemia,LAML
